sneaker_name,brand,sneaker_image,retail_price,url
Nike Air Max 1 Anniversary Green,Nike,https://images.stockx.com/360/Nike-Air-Max-1-Anniversary-Green-2020/Images/Nike-Air-Max-1-Anniversary-Green-2020/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1645100000&h=384,140.00,https://stockx.com/nike-air-max-1-anniversary-green-2020
Nike Air Max 1 Essential Summit White Armory Navy,Nike,https://images.stockx.com/images/Nike-Air-Max-1-Essential-Summit-White-Armory-Navy.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1728255379,140.00,https://stockx.com/nike-air-max-1-essential-summit-white-armory-navy
Nike Air Max 1 Essential Summit White Black,Nike,https://images.stockx.com/360/Nike-Air-Max-1-Essential-Summit-White-Black/Images/Nike-Air-Max-1-Essential-Summit-White-Black/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1722957855&h=384,140.00,https://stockx.com/nike-air-max-1-essential-summit-white-black
Nike Air Max 1 Platinum Tint Dark Obsidian,Nike,https://images.stockx.com/360/Nike-Air-Max-1-Platinum-Tint-Dark-Obsidian/Images/Nike-Air-Max-1-Platinum-Tint-Dark-Obsidian/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1705692219&h=384,140.00,https://stockx.com/nike-air-max-1-platinum-tint-dark-obsidian
Nike Air Max 1 86 Jacquemus White (Womens),Nike,https://images.stockx.com/360/Nike-Air-Max-1-86-Jacquemus-White-Womens/Images/Nike-Air-Max-1-86-Jacquemus-White-Womens/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1721049672&h=384,180.00,https://stockx.com/nike-air-max-1-86-jacquemus-white-womens
Nike Air Max 1 Kasina Won-Ang Orange,Nike,https://images.stockx.com/360/Nike-Air-Max-1-Kasina-Won-Ang-Orange/Images/Nike-Air-Max-1-Kasina-Won-Ang-Orange/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1655318187&h=384,160.00,https://stockx.com/nike-air-max-1-kasina-won-ang-orange
Nike Air Max 1 White Black Stadium Green,Nike,https://images.stockx.com/360/Nike-Air-Max-1-White-Black-Stadium-Green/Images/Nike-Air-Max-1-White-Black-Stadium-Green/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1718029260&h=384,140.00,https://stockx.com/nike-air-max-1-white-black-stadium-green
Nike Air Max 1 Monarch,Nike,https://images.stockx.com/360/Nike-Air-Max-1-Monarch/Images/Nike-Air-Max-1-Monarch/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1711747035&h=384,140.00,https://stockx.com/nike-air-max-1-monarch
Nike Air Max 1 Patta Waves Noise Aqua (with Bracelet),Nike,https://images.stockx.com/360/Nike-Air-Max-1-Patta-Waves-Noise-Aqua-with-Bracelet/Images/Nike-Air-Max-1-Patta-Waves-Noise-Aqua-with-Bracelet/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1635810037&h=384,160.00,https://stockx.com/nike-air-max-1-patta-waves-noise-aqua-with-bracelet
Nike Air Max 1 PRM Dirty Denim,Nike,https://images.stockx.com/360/Nike-Air-Max-1-PRM-Mineral-Slate/Images/Nike-Air-Max-1-PRM-Mineral-Slate/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1663874512&h=384,150.00,https://stockx.com/nike-air-max-1-prm-mineral-slate
